Year ,"GDP, billions Kč","Real GDP, billions Kč","Population, millions","GDP (per capita), Kč","GDP Change, %","Gross Saving, bill Kč","Gross Saving, GDP %","Unemployment, %","Wage Change, %","Real Wage Change, %","Inflation, (CPI) %","Income Tax Rate, avg %","Tax Rev, bill Kč","Tax Rev, GDP %","Payments Balance, bill Kč","Interest Rate, %","Payments Balance, GDP %","Public Debt, bill Kč","Public Debt, GDP %"
1993,1195.811,2250.701241,10.330607,115.7541856,21.45169907,338.801,28.46010137,4.3,,,20.8,,,,1.081,,0.090398901,158.8,13.27969052
1994,1364.823,2316.181105,10.336162,132.0434993,11.46981186,396.649,29.07014156,4.3,,,10,,,,10.449,,0.76559378,157.3,11.52530401
1995,1580.115,2460.280135,10.330759,152.9524597,9.036463832,482.005,30.58133758,4,,,9.1,43,,,7.23,,0.457561633,154.4,9.771440686
1996,1812.622,2565.648989,10.315353,175.7207921,10.00334995,539.978,30.09732981,3.9,,,8.8,40,,,-1.562,,-0.08617351,155.2,8.562182297
1997,1953.311,2548.349556,10.303642,189.5748125,8.493168185,527.155,27.32136073,4.8,,,8.5,40,,,-15.717,,-0.804633773,173.1,8.863975066
1998,2142.587,2540.295939,10.294943,208.1203364,10.03775798,615.916,29.13498908,6.5,,,10.7,40,,,-29.331,,-1.368952579,194.7,9.086025445
1999,2237.3,2576.82667,10.282784,217.5772631,2.940141226,606.079,27.56416816,8.7,,,2.1,40,,,-29.634,,-1.324542976,228.4,10.20676709
2000,2372.63,2687.479113,10.272503,230.9690248,1.682457834,660.419,28.3487865,8.8,,,3.9,32,,,-46.061,7.38,-1.941347787,289.3,12.19423172
2001,2562.679,2769.48811,10.224192,250.6485598,4.811675266,706.98,28.37491426,8.1,8.8,3.9,4.7,32,,,-67.705,5.43,-2.641961791,345,13.46423021
2002,2674.634,2815.100185,10.200774,262.1991233,2.677623004,681.691,26.39664572,7.3,8,6.1,1.8,32,452.5,16.91820264,-45.716,4.15,-1.709243209,395.9,14.80195047
2003,2801.163,2916.495661,10.201651,274.5793794,1.089618437,693.124,25.5669084,7.8,5.8,5.7,0.1,32,485.3,17.32494682,-109.053,4.82,-3.893132959,493.2,17.60643704
2004,3057.66,3060.788008,10.206923,299.5672643,4.01092066,777.841,26.71118754,8.3,6.3,3.4,2.8,32,519.6,16.9933871,-93.684,4.14,-3.063911619,592.9,19.39064513
2005,3257.972,3257.972,10.234092,318.3449983,0.102284644,862.81,27.88843849,7.9,5,3,1.9,32,557.87,17.12322881,-56.338,3.61,-1.729235242,691.2,21.21491529
2006,3507.131,3482.007887,10.266646,341.6043565,0.721537895,921.203,28.1164969,7.1,6.6,4,2.5,32,631.25,17.99904252,-97.58,3.77,-2.782331199,802.5,22.88175149
2007,3831.819,3674.537377,10.322689,371.2035691,3.533294606,1051.161,29.54390744,5.3,7.2,4.3,2.8,32,637.99,16.64979478,-66.392,4.68,-1.732649689,892.3,23.28659052
2008,4015.346,3774.152453,10.429692,384.9918099,2.023732512,1050.888,28.17575394,4.4,7.8,1.4,6.3,15,751.7,18.72067812,-20.003,4.3,-0.498163795,999.81,24.89972222
2009,3921.827,3591.416094,10.491492,373.8102264,2.640586119,888.144,24.54958267,6.7,3.3,2.3,1,15,666.1,16.98443098,-192.394,3.98,-4.905723786,1178.24,30.04314061
2010,3953.651,3673.842315,10.517247,375.9207139,-1.450333463,869.112,23.96976393,7.3,2.2,0.7,1.5,15,700.65,17.72159455,-156.416,3.89,-3.956241965,1344.06,33.99541335
2011,4022.41,3745.988488,10.496672,383.2081254,-0.220326387,900.842,24.50169339,6.7,2.5,0.6,1.9,15,716.91,17.82289722,-142.771,3.7,-3.549385357,1499.373876,37.27551086
2012,4047.675,3715.705884,10.509286,385.1522358,1.448209263,977.353,26.00391541,7,2.5,-0.8,3.3,15,735.55,18.17216056,-101,1.92,-2.495259624,1667.632753,41.19976907
2013,4086.26,3689.634541,10.510719,388.7707397,1.666619394,932.222,24.78856296,7,0,-1.4,1.4,22,759.24,18.5803155,-81.264,2.2,-1.988723845,1683.338183,41.19508262
2014,4298.2,,10.7,,,,,,,,0.4,22,788.77,18.35117026,-77.782,0.67,,1663.7,38.70690056
